Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Forest area (sq. km),AG.LND.FRST.K2,Afghanistan,AFG,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,..
Forest area (sq. km),AG.LND.FRST.K2,Albania,ALB,7888,7693,7849.17,7863.405,7877.64,7891.875,7891.8,7889.025,7889,7889,7889,..
